City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
232,Yulara,AU,2022-12-18 20:42:33,-25.2406,130.9889,70.23,54,0,6.55
233,Kaeo,NZ,2022-12-18 20:42:34,-35.1,173.7833,69.37,57,0,2.21
234,Andenes,NO,2022-12-18 20:42:34,69.3143,16.1194,28.92,80,100,6.91
235,Innisfail,AU,2022-12-18 20:42:35,-17.5333,146.0333,78.49,79,66,8.14
236,Darhan,MN,2022-12-18 20:42:35,49.4867,105.9228,-8.21,95,8,1.54
237,Vila Velha,BR,2022-12-18 20:42:36,-20.3297,-40.2925,78.75,78,100,5.75
238,Pitanga,BR,2022-12-18 20:42:36,-24.7572,-51.7614,65.39,92,100,0.69
239,Husavik,IS,2022-12-18 20:42:36,66.0449,-17.3389,19.74,80,100,16.53
240,Kuruman,ZA,2022-12-18 20:42:37,-27.4524,23.4325,75.99,37,24,7.16
241,Potamia,GR,2022-12-18 20:42:37,40.7163,24.7286,51.66,82,100,18.77
242,Paso De Los Toros,UY,2022-12-18 20:42:38,-32.8167,-56.5167,89.13,17,4,12.55
243,Mandalgovi,MN,2022-12-18 20:42:38,45.7625,106.2708,7.77,51,2,4.38
244,Jaisalmer,IN,2022-12-18 20:42:38,26.9147,70.9181,62.89,19,19,2.64
245,Medea,DZ,2022-12-18 20:42:39,36.2642,2.7539,48.02,70,0,5.17
246,Coihaique,CL,2022-12-18 20:42:39,-45.5752,-72.0662,63.21,45,40,9.22
247,Nome,US,2022-12-18 20:39:59,64.5011,-165.4064,17.67,41,0,10.36
248,Fairbanks,US,2022-12-18 20:42:40,64.8378,-147.7164,-29.24,72,0,0.0
249,Chokurdakh,RU,2022-12-18 20:42:40,70.6333,147.9167,-3.57,98,100,3.94
250,Adrar,MR,2022-12-18 20:42:41,20.5022,-10.0711,71.1,22,0,11.52
251,Kavieng,PG,2022-12-18 20:42:41,-2.5744,150.7967,81.28,75,100,3.44
252,Hofn,IS,2022-12-18 20:42:42,64.2539,-15.2082,20.89,70,98,24.74
253,Goes,NL,2022-12-18 20:42:42,51.5042,3.8889,34.03,94,100,5.99
254,Comodoro Rivadavia,AR,2022-12-18 20:42:42,-45.8667,-67.5,69.66,26,0,17.27
255,Isla Mujeres,MX,2022-12-18 20:42:43,21.2311,-86.731,80.65,68,56,7.36
256,Puerto Escondido,MX,2022-12-18 20:41:16,15.85,-97.0667,86.83,54,20,5.75
257,Barra Do Bugres,BR,2022-12-18 20:42:43,-15.0725,-57.1811,81.68,68,82,6.02
258,Ilulissat,GL,2022-12-18 20:42:44,69.2167,-51.1,26.62,33,92,17.27
259,Alamosa,US,2022-12-18 20:40:10,37.4695,-105.87,24.78,30,0,3.44
260,Perdoes,BR,2022-12-18 20:42:44,-21.0908,-45.0914,71.89,83,44,6.76
261,Namatanai,PG,2022-12-18 20:42:44,-3.6667,152.4333,79.83,78,100,2.28
262,Codrington,AU,2022-12-18 20:42:45,-38.2667,141.9667,53.31,78,1,12.33
263,Longyearbyen,SJ,2022-12-18 20:42:45,78.2186,15.6401,6.64,78,75,10.36
264,Bengkulu,ID,2022-12-18 20:42:46,-3.8004,102.2655,74.8,84,61,4.45
265,Ajaccio,FR,2022-12-18 20:42:46,42.0,8.9167,46.45,87,0,5.75
266,Sept-Iles,CA,2022-12-18 20:42:46,50.2001,-66.3821,32.43,80,100,9.22
267,Araguaina,BR,2022-12-18 20:42:47,-7.1911,-48.2072,79.02,80,100,3.42
268,Taltal,CL,2022-12-18 20:42:47,-25.4,-70.4833,69.1,71,23,4.09
269,Isla Vista,US,2022-12-18 20:43:47,34.4133,-119.861,66.25,62,0,6.91
270,Pacific Grove,US,2022-12-18 20:43:48,36.6177,-121.9166,59.23,61,0,11.01
271,Fortuna,US,2022-12-18 20:43:48,40.5982,-124.1573,48.97,75,0,3.44
272,Provideniya,RU,2022-12-18 20:43:49,64.3833,-173.3,28.51,69,75,20.13
273,Hay River,CA,2022-12-18 20:43:49,60.8156,-115.7999,-20.22,69,75,5.75
274,Boyolangu,ID,2022-12-18 20:43:49,-8.1181,111.8935,73.85,91,0,0.83
275,Severo-Kurilsk,RU,2022-12-18 20:43:50,50.6789,156.125,30.7,94,100,44.65
276,Saurimo,AO,2022-12-18 20:43:50,-9.6608,20.3916,64.76,98,100,3.29
277,Kampot,KH,2022-12-18 20:43:50,10.6167,104.1833,73.45,71,21,15.26
278,Ternate,ID,2022-12-18 20:43:51,0.8,127.4,76.96,87,100,2.3
279,Kropotkin,RU,2022-12-18 20:43:51,45.4375,40.5756,45.59,84,100,9.86
280,Palu,ID,2022-12-18 20:43:52,-0.8917,119.8707,73.76,94,100,2.37
281,Bethel,US,2022-12-18 20:43:52,41.3712,-73.414,39.29,58,20,10.36
282,Xam Nua,LA,2022-12-18 20:43:52,20.4197,104.0439,39.47,68,38,1.43
283,Severnoye,RU,2022-12-18 20:43:53,56.3491,78.3619,1.31,97,98,5.19
284,Verkhnyaya Toyma,RU,2022-12-18 20:43:53,62.2349,44.9985,-7.42,100,34,2.84
285,Beloha,MG,2022-12-18 20:43:53,-25.1667,45.05,73.72,88,83,5.77
286,Tateyama,JP,2022-12-18 20:43:54,34.9833,139.8667,43.11,57,4,24.9
287,Casa Grande,US,2022-12-18 20:43:54,32.8795,-111.7573,62.24,39,40,5.75
288,Sumenep,ID,2022-12-18 20:43:55,-7.0167,113.8667,79.38,77,17,1.19
289,Aklavik,CA,2022-12-18 20:42:22,68.2191,-135.0107,-16.6,76,75,3.44
290,Puerto Del Rosario,ES,2022-12-18 20:43:55,28.5004,-13.8627,67.75,77,20,3.44
291,Manaure,CO,2022-12-18 20:43:55,11.7751,-72.4445,84.02,54,1,19.33
