City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
200,Biak,ID,-0.9131,122.8766,83.23,67,100,3.13,overcast clouds
201,Necochea,AR,-38.5473,-58.7368,67.32,63,0,13.4,clear sky
202,Port-Gentil,GA,-0.7193,8.7815,79.79,76,100,4.32,light rain
203,Muros,ES,42.7762,-9.0603,58.68,96,100,17.65,overcast clouds
204,La Ronge,CA,55.1001,-105.2842,-10.98,70,75,12.66,broken clouds
205,Kushima,JP,31.4583,131.2333,53.28,47,0,1.72,clear sky
206,Longonjo,AO,-12.9067,15.2533,58.8,98,99,2.93,overcast clouds
207,Ostrovnoy,RU,68.0531,39.5131,17.06,89,100,11.68,overcast clouds
208,Ust-Tsilma,RU,65.441,52.1498,1.87,98,100,5.21,overcast clouds
209,Salalah,OM,17.0151,54.0924,75.29,33,75,14.97,broken clouds
210,Caucaia,BR,-3.7361,-38.6531,80.55,75,40,8.05,scattered clouds
211,Luganville,VU,-15.5333,167.1667,85.41,63,24,7.76,few clouds
212,Bodaybo,RU,57.8506,114.1933,-5.08,95,99,2.44,overcast clouds
213,San Lazaro,BZ,18.0387,-88.6622,69.31,90,6,3.67,clear sky
214,Amapa,BR,1.0,-52.0,70.65,99,66,2.46,broken clouds
215,Ngama,TD,11.7833,17.1667,65.32,29,0,8.66,clear sky
216,Tomatlan,MX,19.9333,-105.25,67.08,83,0,3.44,clear sky
217,Ustye,RU,59.6304,39.736,19.76,95,100,7.11,overcast clouds
218,Kovur,IN,14.4833,79.9833,74.52,74,79,7.27,broken clouds
219,Whitianga,NZ,-36.8333,175.7,72.64,63,70,7.31,broken clouds
220,Ferrol,ES,43.4832,-8.2369,59.52,95,100,9.69,overcast clouds
221,Vao,NC,-22.6667,167.4833,76.6,81,94,17.09,overcast clouds
222,Mariinskiy Posad,RU,56.115,47.718,7.74,98,91,3.09,overcast clouds
223,Hervey Bay,AU,-25.2986,152.8535,74.98,60,28,21.74,scattered clouds
224,Canutama,BR,-6.5339,-64.3831,72.9,98,99,1.23,moderate rain
225,Nanortalik,GL,60.1432,-45.2371,19.71,70,6,5.32,clear sky
226,Saskylakh,RU,71.9167,114.0833,-16.2,100,98,4.18,overcast clouds
